bank_name,city,audience_type,interest_rate,loan_amount,tenure_years,emi_amount,total_interest,total_payment
SBI,Delhi,NRIs,9.29,5000000,15,51580.0,4284313.0,9284313.0
SBI,Delhi,NRIs,9.29,5000000,20,45923.0,6021531.0,11021531.0
SBI,Delhi,NRIs,9.29,5000000,25,42957.0,7887154.0,12887154.0
SBI,Delhi,NRIs,9.29,7500000,15,77369.0,6426469.0,13926469.0
SBI,Delhi,NRIs,9.29,7500000,20,68885.0,9032296.0,16532296.0
SBI,Delhi,NRIs,9.29,7500000,25,64436.0,11830731.0,19330731.0
SBI,Delhi,First Time Home Buyers,9.09,3000000,15,30589.0,2505988.0,5505988.0
SBI,Delhi,First Time Home Buyers,9.09,3000000,20,27166.0,3519761.0,6519761.0
SBI,Delhi,First Time Home Buyers,9.09,3000000,25,25361.0,4608312.0,7608312.0
SBI,Delhi,First Time Home Buyers,9.09,5000000,15,50981.0,4176647.0,9176647.0
SBI,Delhi,First Time Home Buyers,9.09,5000000,20,45276.0,5866268.0,10866268.0
SBI,Delhi,First Time Home Buyers,9.09,5000000,25,42268.0,7680520.0,12680520.0
SBI,Delhi,First Time Home Buyers,9.09,7500000,15,76472.0,6264971.0,13764971.0
SBI,Delhi,First Time Home Buyers,9.09,7500000,20,67914.0,8799402.0,16299402.0
SBI,Delhi,First Time Home Buyers,9.09,7500000,25,63403.0,11520780.0,19020780.0
SBI,Bangalore,Salaried - IT/Corporate,8.61,3000000,15,29736.0,2352470.0,5352470.0
SBI,Bangalore,Salaried - IT/Corporate,8.61,3000000,20,26244.0,3298544.0,6298544.0
SBI,Bangalore,Salaried - IT/Corporate,8.61,3000000,25,24380.0,4313880.0,7313880.0
SBI,Bangalore,Salaried - IT/Corporate,8.61,5000000,15,49560.0,3920783.0,8920783.0
SBI,Bangalore,Salaried - IT/Corporate,8.61,5000000,20,43740.0,5497574.0,10497574.0
SBI,Bangalore,Salaried - IT/Corporate,8.61,5000000,25,40633.0,7189801.0,12189801.0
SBI,Bangalore,Salaried - IT/Corporate,8.61,7500000,15,74340.0,5881174.0,13381174.0
SBI,Bangalore,Salaried - IT/Corporate,8.61,7500000,20,65610.0,8246361.0,15746361.0
SBI,Bangalore,Salaried - IT/Corporate,8.61,7500000,25,60949.0,10784701.0,18284701.0
SBI,Bangalore,Salaried - Government/PSU,8.56,3000000,15,29648.0,2336603.0,5336603.0
SBI,Bangalore,Salaried - Government/PSU,8.56,3000000,20,26149.0,3275696.0,6275696.0
SBI,Bangalore,Salaried - Government/PSU,8.56,3000000,25,24278.0,4283470.0,7283470.0
